article,level,text,label,word_count,predicted_label,predicted_level,correct,length_group
Brazil,Intermediate,"Brazil experienced one of its biggest nights of protest in decades as more than 100,000 people took to the streets to express their frustration at aggressive policing, poor public services and high costs for the World Cup. The major demonstrations in Rio de Janeiro, São Paulo, Brasilia, Belem, Belo Horizonte, Salvador and elsewhere started peacefully, but several led to clashes with police and arson attacks on cars and buses. People complained, during previous, smaller protests against bus price increases, that police responded disproportionately with rubber bullets, tear gas and violent beatings. The rallies came at the same time as the start of the football Confederations Cup. The rallies brought together people who are frustrated with the rising costs and poor quality of public services, large amounts of money being spent on international sporting events, low standards of health care and wider unease about inequality and corruption. The vast majority of demonstrations were peaceful, but several police were injured, at least one car was overturned and burned, and windows were smashed. The unrest increased during the night as a large crowd set several fires outside a government office, smashed the building’s windows and painted graffiti on the walls that said “Revolution”, “Down with Paes, down with Cabral [the mayor and state governor]” and “Hate police”. Police inside responded with pepper spray. The reasons people were protesting varied widely. “We are here because we hate the government. They do nothing for us,” said Oscar José Santos, a 19 year old. “I’m an architect but I have been unemployed for six months. There must be something wrong with this country,” said Nadia al Husin. At a far smaller rally in Brasilia, demonstrators broke through police lines to enter the high-security area of the national congress. Several climbed onto the roof. In Belo Horizonte, police clashed with protesters who tried to get into a football stadium, which was hosting a Confederations Cup match between Nigeria and Tahiti. In Porto Alegre, demonstrators set fire to a bus and, in Curitiba, protesters tried to force their way into the office of the state governor. There were also rallies in Belem, Salvador and elsewhere. In São Paulo, large crowds gathered but reports said the marches were peaceful. Most protesters were young and, for many, it was their first experience of such a giant rally. “My generation has never experienced this,” said Thiago Firbida, a student. “Since the dictatorship, Brazilians never bothered to demonstrate like this. They did not believe they had a reason to. But now Brazil is once again in crisis, with a constant rise in prices, so people are finally reacting.” Comparisons have been drawn with rallies in Turkey and elsewhere. You could see another global link in the demonstrators who wore Guy Fawkes masks, associated with Anonymous and the Occupy Wall Street protests. Brazil’s demonstrations are being referred to as the “vinegar revolution” (after police arrested people for carrying vinegar to fight the effects of tear gas), as well as the “20-cent revolution” (due to the bus price rise) and the Passe Livre (after the demand for free public transport). Some said the protests felt un-Brazilian but liberating. “Our politicians need to see the strength we have as one people. Brazilians are too nice sometimes – they enjoy partying rather than protesting – but something is changing,” said Deli Borsari, a 53-year-old yoga instructor After people heard about the costs of new and refurbished stadiums on the news, the Confederations Cup football tournament has been one of the focuses of the protests. Before Saturday’s opening match in Brasilia, crowds of demonstrators were dispersed by riot police. Footage showed frightened Japanese supporters rushing from the area holding their children, as they heard the sound of shots – perhaps rubber bullets or tear gas. Another protest march, near Rio’s Maracana Stadium, also had a heavy police response. President Dilma Rousseff “believes peaceful protests are legitimate and proper for a democracy and that it is natural for young people to demonstrate.” However, the president was booed at the opening ceremony for the Confederations Cup. She faces a serious political challenge, both now and in 2014, when Brazil will not only host the World Cup but also have a presidential election.",1,703,2,Advanced,False,Long
Everest,Intermediate,"Kenton Cool can hardly speak. All the physical effort at high altitude has affected his voice. He is now in Kathmandu, the capital of Nepal – he flew down from Everest base camp that morning. Cool is talking about a startling sequence of climbs completed the previous weekend. Early on Saturday morning, he reached the summit of Nuptse, the first and lowest of the three main summits in the Everest “horseshoe” that surrounds the glaciated valley called the Western Cwm. That same day, he climbed up to the summit of Everest itself, reaching the top in complete darkness early on Sunday. He and his climbing partner then continued on to the summit of Lhotse, the third of this spectacular three-peaks challenge, on Monday morning. He says he took advantage of a rare opportunity. “For the first time since the late 1990s, there were fixed ropes on all three mountains,” he says. “That doesn’t take away the physical achievement of what I did. I’ve set the bar at a certain level. But whoever comes along next will move the bar further and do it without ropes or bottled oxygen.” Sixty years after Everest was first climbed, many of the media reports are looking back to Edmund Hillary and Tenzing Norgay and their age of innocence from the modern era of commercialism and environmental damage. I’ve asked Cool to look forward and imagine what top climbers might be doing 60 years from now. “I hate to think,” he says, but mentions the Swiss climber, Ueli Steck, who fled the mountain in April after an argument with a crowd of Sherpas at Camp 2. Steck, he says, was planning to climb Everest’s west ridge, first done in 1963, descend to the South Col and then immediately climb Lhotse via a new route, all without fixed ropes. “Ueli had been training like a machine,” Cool says. “He’s a fantastic climber. He’s technically brilliant but he had also taken his physical condition to the highest possible level. It would have been amazing to see what he could have done.” What will tourism look like in the Everest region in the future? One clue is in the stunning helicopter rescue by Simone Moro, Steck’s climbing partner, whose rude language caused the argument at Camp 2. Moro flew back to Everest on Tuesday at the controls of a high-powered helicopter to rescue a climber at an altitude of 7,800 metres. It was the highest rescue ever performed on Everest and highlights the huge rise in helicopter flights in recent years. By 2073, the infrastructure on the mountain might include a helipad on the South Col that would bring tourists. In the meantime, helicopters are making it easier to rescue both climbers and the far more numerous trekkers who go as far as base camp. It is not certain that the Everest region can continue to cope with a booming tourism sector, according to mountain geographer and environmentalist, Alton Byers. The combination of climate change and tourism, he says, is creating new stresses on the Sherpa homeland. The retreat, and in some cases disappearance, of glaciers in the Everest region is having a major impact already. “Everywhere you go, people are talking about how there’s less water. There’s less water for agriculture and less water for all the new lodges that are getting built.” In the Sherpa town of Namche Bazaar, he says, a new five-mile pipeline is being laid to bring water to service the growing tourist demand for showers and flush toilets. The local stream has become contaminated with human waste and does not provide enough water for a place that, in high season, is bursting at the seams. “Every village is digging a pit just beyond the houses for garbage. Khumbu has the highest landfill sites in the world,” he says. Human waste at base camp is now managed well and removed in plastic barrels. But, according to Byers, these barrels are emptied into a huge pit a few hours down the valley that could leak into the region’s watercourses. “These problems can be solved, but we need to get serious about it,” he says. “One climber can spend $85,000 climbing Everest. And that’s fine. But at some point we’re going to have to look at these other priorities. For half a million dollars a year, you could solve most of them.” Climate change is another issue. Byers works with local conservation committees to identify and plan for the impacts of climate change, most usually finding new water sources or introducing rainwater harvesting. The rapid build-up of glacial lakes is a constant threat – they threaten to burst and flood the Sherpa homeland. “At some point in the future, people are going to have to get out of their way.” Changing weather patterns are also having an impact on tourism. Increased cloud cover in periods of normally clear weather is closing Lukla Airport, the gateway to the Everest region, more often. A new road for 4x4s is being built to Lukla to guarantee the flow of tourists and their money, but Byers is worried that the rapid spread of the road network in Nepal is being done too cheaply, with disastrous consequences in terms of soil erosion and landslides. “Everest is the icon everyone knows,” he says. “It’s the perfect laboratory for figuring out how to solve some of these problems, like the impacts of climate change and tourism.”",1,904,2,Advanced,False,Long
Exercise,Intermediate,"‘Fit in four minutes’ sounds like a headline from a health magazine or an impossible promise on late-night satellite TV. Then you try Dr Izumi Tabata’s training programme – 20 seconds of allout effort, ten seconds of rest, repeat eight times – and, after collapsing on the floor, you realize you were wrong. Tabata has seen it all before. “They were dead!” he laughs as he remembers the first time he tried out his system on his university students in the early 1990s. “After four minutes’ hard exercise they were completely exhausted. But after six weeks they saw the results and were surprised. We all were.” He began his research after he watched Japan’s speed skating team in the early 1990s – he noticed that short bursts of incredibly hard exercise seemed to be at least as effective as hours of moderate training. Tabata tried to prove this with a simple experiment. One group of moderately trained students did an hour of steady cardiovascular exercise on an exercise bike five times a week. The other group did a ten-minute warm-up on the bike, followed by four minutes of Tabata training, four times a week – plus one 30-minute session of steady exercise with two minutes of Tabata. The results were very surprising. After six weeks of testing, the group following Tabata’s plan – exercising for just 88 minutes a week – had increased their anaerobic capacity by 28% and their VO2 max, something that shows your cardiovascular health and maximal aerobic power, by 15%. The control group, who trained for five hours every week, also improved their VO2 max, but by 10% – and their training had no effect on anaerobic capacity.”We also measured increases in heart size after three weeks of doing the exercises,” says Tabata But you have to work very, very hard. You can’t sit on a cross trainer, chewing gum and reading the latest issue of HELLO! The programme demands intensive bursts on a stationary bike or rowing machine; explosive bodyweight exercises, sprints and so on. Remember how you felt after doing a 100m sprint at school? Imagine doing eight of them with only a tensecond break to recover. “All-out effort at 170% of your VO2 max is the basis of the programme,” says Tabata. “If you feel OK afterwards, you’ve not done it properly. The first three repetitions will feel easy but the last two will feel impossibly hard. In the original plan the aim was to get to eight, but some only managed six or seven.” One person on an online forum wrote: “When done correctly you should meet God. Most people are incapable of doing it correctly and shouldn’t even try.” Tabata doesn’t completely agree. “Everyone can do it but beginners should start with educated trainers so that they can work at the correct intensity for them,” he explains. He adds that his programme burns an extra 150 calories in the 12 hours after exercise, even at rest. So, although it is used by most people to get fit – or by fit people to get even fitter – it also burns fat. It’s slightly surprising, therefore, that only serious athletes follow the programme at the moment. But that may change now that Tabata has agreed a deal that will lead to a network of instructors and a DVD range released towards the end of the year. “I decided to do this because I often go on YouTube and, while I am pleased that people are doing it, some are doing it wrong because they don’t realize how hard they need to work,” says Tabata. So should we all start following this plan? Richard Scrivener, a former rugby fitness coach, says that while the benefits are clear, Tabatas are an addition, not a replacement, to a favoured sport or training method. “Runners, for instance, need a high level of running economy, which comes from learning the skills and running for many miles,” says Scrivener, “But they could reduce the number of long runs and the overall mileage by introducing Tabata training. This will give joints the chance to rest and recover, especially if you have a history of injuries – and you would probably therefore get more benefit from the long runs when you do them.” Gym rats can benefit by doing three strength sessions and three Tabatas a week. And the rest of us can slowly increase the number of sessions, although we know that it will never get easier because every session needs maximum effort. That’s the cruel genius of the programme: it is hard – and effective.",1,767,2,Advanced,False,Long
False memory,Elementary,"Scientists have put a false memory in the brains of mice in an experiment. They hope the results of the experiment will help to explain why people “remember” things that never happened. False memories are sometimes a problem with eyewitness statements in courts of law. Eyewitnesses often give evidence that leads to guilty verdicts, but later those verdicts may be changed when DNA or some other evidence is used. Susumu Tonagawa, a scientist at the Massachusetts Institute of Technology (MIT), and his team wanted to study how these false memories form in the human brain. They put memories in the brains of mice by changing individual neurons. In the experiment, Tonagawa’s team put the mice in a box and allowed them to explore it. As they explored it, their brain cells created a memory. The next day, they put the same mice in a second box and gave them a small electric shock. This scared the mice. At the same time, the researchers shone light into the mouse brains to bring back their memories of the first box. That way, the mice associated fear of the electric shock with the memory of the first box. In the final part of the experiment, the team put the mice back in the first box. The mice froze because they were scared. However, they had not received the shock in the first box and had no reason to be afraid. A similar thing may happen when powerful false memories are created in humans. “Humans are very imaginative animals,” said Tonagawa. “So, just like our mouse, it is quite possible we can associate what we have in our mind with bad or good events. In other words, there could be a false association of what you have in your mind rather than what is happening to you.” He added: “Our study showed that the false memory and the real memory use very similar, almost identical, brain mechanisms. It is difficult to tell the difference between them. We hope our future experiments will show legal experts how unreliable memory can be.” Chris French, of the University of London, is a researcher in false memories in people. He said that the results of the experiments were an important first step in understanding false memories. He added that memory researchers have always known that memory does not work like a video camera, recording all the details of anything we experience. Instead, we build a memory from small pieces of memory of the event, as well as information from other places. He warned that the false memories created in the mice in the experiments were far simpler than the complex false memories people have, such as false memories of childhood sexual abuse, abduction by aliens, or “past lives”. These complex false memories involve many parts of the brain. French says that it will be a long time before we understand how our brains make these memories. The mouse models created by the MIT team will help scientists ask more complex questions about memories in people. “Now that we can change the contents of memories in the brain, we can begin asking questions that used to be philosophical questions,” said Steve Ramirez, who works with Tonagawa at MIT. “Can we create false memories? What about false memories for more than just places – false memories for objects, food or other mice? These used to be sci-fi questions but we can now research them in the lab.”",0,577,1,Intermediate,False,Short
False memory,Intermediate,"Scientists have implanted a false memory in the brains of mice in an experiment that they hope will help to explain why people ‘remember’ events or experiences that have never happened. False memories are a major problem with witness statements in courts of law. Evidence that eyewitnesses give often leads to guilty verdicts, but later the convictions are overturned when DNA or some other evidence is used. Susumu Tonagawa, a neuroscientist at the Massachusetts Institute of Technology (MIT), and his team wanted to study how these false memories might form in the human brain, so they encoded memories in the brains of mice by manipulating individual neurons. Memories of experiences we have had are made from several elements including records of objects, space and time. These records are encoded in physical and chemical changes in brain cells and the connections between them. According to Tonagawa, both false and genuine memories seem to use the same brain mechanisms. In the experiment, Tonagawa’s team put the mice in a box and allowed them to explore it. As they did so, their brain cells were producing a memory protein. The next day, the same mice were put in a second box and given a small electric shock, to encode a fear response. At the same time, the researchers shone light into the mouse brains to activate their memories of the first box. That way, the mice learned to associate fear of the electric shock with the memory of the first box. In the final part of the experiment, the team put the mice back in the first box. The mice froze, showing a typical fear response, even though they had never been shocked in that box. A similar process may happen when powerful false memories are created in humans. “Humans are very imaginative animals,” said Tonagawa. “ So, just like our mouse, it is quite possible we can associate what we happen to have in our mind with bad or good events. In other words, there could be a false association of what you have in your mind rather than what is happening to you.” He added: “Our study showed that the false memory and the genuine memory are based on very similar, almost identical, brain mechanisms. It is difficult for the person with false memories to distinguish between them. We hope our future findings along this line will show legal experts how unreliable memory can be.” Chris French, of the University of London, is a leading researcher in false memories in people. He said that the latest results were an important first step in understanding them. “Memory researchers have always recognized that memory does not work like a video camera, recording all the details of anything we experience. Instead, it is a reconstructive process, which involves building a specific memory from fragments of real memory traces of the original event, but also possibly including information from other sources.” He warned that the false memories created in the mice in the experiments were far simpler than the complex false memories that have caused controversy within psychology and psychiatry – for example, false memories of childhood sexual abuse, abduction by aliens, or “past lives”. “Such rich false memories will clearly involve many brain systems and we are still a long way from understanding the processes involved in their formation at the neuronal level,” he said. Mark Stokes, a neuroscientist at Oxford University, said the experiments were a great achievement but that it was important to put them into perspective. “Although the results seem to show that new memories were formed by the artificial stimulation (rather than the actual environment), this kind of phenomenon is still a long way from most people’s idea of memory,” he said. The mouse models created by the MIT team will help scientists ask more and more complex questions about memories in people. “Now that we can change the contents of memories in the brain, we can begin asking questions that were once the realm of philosophy,” said Steve Ramirez, a colleague of Tonagawa’s at MIT. “Are there multiple conditions that lead to the formation of false memories? Can false memories be artificially created? What about false memories for more than just contexts – false memories for objects, food or other mice? These are the seemingly sci-fi questions that can now be experimentally tackled in the lab.” As the technology develops, said French, scientists need to think about its uses carefully. “In whatever way we implant false memories, we need to be very aware of the ethical issues raised by such procedures – the potential for abuse of such techniques cannot be overstated.”",1,773,2,Advanced,False,Long
Ferguson,Intermediate,"The Manchester United manager, Sir Alex Ferguson, will retire at the end of the season after 27 years as the most successful manager in British football. He will become a director of the club and someone will have to replace a man who has won 13 English Premier League titles, two Champions Leagues, the Cup Winners’ Cup, five FA Cups and four League Cups. Talking about his decision, Ferguson said: “The decision to retire is one that I have thought a great deal about. It is the right time. It was important to me to leave an organization in the strongest possible condition and I believe I have done so. The quality of this squad, and the balance of ages within it, bodes well for continued success at the highest level. The structure of the youth set-up will ensure that the long-term future of the club remains a bright one. “Our training facilities are amongst the best in world sport and our home, Old Trafford, is regarded as one of the leading venues in the world. I am delighted to take on the roles of both director and ambassador for the club. With these activities, along with my many other interests, I am looking forward to the future. I must pay tribute to my family; their love and support has been essential. “As for my players and staff, past and present, I would like to thank them all for a staggering level of professional conduct and dedication that has helped to deliver so many memorable triumphs. Without their contribution, the history of this great club would not be as rich. In my early years, the support of the board of directors gave me the confidence and time to build a football club, not just a football team. “Over the past ten years, the Glazer family have made it possible for me to manage Manchester United to the best of my ability and I have been extremely fortunate to have worked with a talented and trustworthy chief executive, David Gill. I am truly grateful to all of them. To the fans, thank you. It has been an honour and an enormous privilege to have had the opportunity to lead your club and I have treasured my time as manager of Manchester United.” The suddenness of Ferguson’s departure is exactly how he said he would leave the job. He first mentioned the possibility of retiring during the 2001/2 season but then performed a U-turn. It is understood that he gathered the players in the first-team changing room shortly after they arrived for training. In an emotional speech, he announced he was retiring. Joel Glazer, joint owner of Manchester United, said: “Alex has proven time and time again what a fantastic manager he is but he’s also a wonderful person. His determination to succeed and dedication to the club have been truly remarkable. I will never forget the wonderful memories he has given us, like that magical night in Moscow.” Avie Glazer, his brother, said: “I am delighted to announce that Alex has agreed to stay with the club as a director. His contributions to Manchester United over the last 27 years have been extraordinary and, like all United fans, I want him to be a part of its future.” David Gill added: “I’ve had the tremendous pleasure of working very closely with Alex for 16 unforgettable years – we have had countless wins and numerous signings. We knew that his retirement would come one day and we both have been planning for it by ensuring the quality of the team and club structures are in first-class condition. Alex’s vision, energy and ability have built teams that are among the best and most loyal in world sport. “The way he cares for this club, his staff and for the football family in general is something that I admire. What he has done for this club and for the game in general will never be forgotten. It has been the greatest experience of my working life being with Alex and a great honour to be able to call him a friend.” First-team coach René Meulensteen revealed how Ferguson broke the news to his backroom staff. “I found out this morning when I came to the club,” he said. “He called us into his office and told us his decision. He’s obviously a man who thinks very, very hard so I’m sure he’s put a lot of thought into making this decision. I wish him well. He’s been fantastic for this club and I hope all the fans give the new manager the same support that he gets.”",1,773,2,Advanced,False,Long
Kate and William,Intermediate,"The Duke and Duchess of Cambridge won the first part of their battle for privacy when a French magazine was banned from selling or reusing photos of the couple at a private chateau in Provence. French prosecutors must now decide if there should be criminal proceedings against the magazine editor and the photographer or photographers who took the pictures of the duchess sunbathing topless while on holiday in the south of France. The Tribunal de Grande Instance in Nanterre, Paris ordered the gossip magazine Closer to give the couple the digital files of the pictures within 24 hours. The magazine will have to pay €10,000 for every day it does not give the couple the files. The court also ordered Mondadori Magazines France, Closer’s publisher, to pay €2,000 of legal costs. “These photos, which showed the couple, partly naked on the terrace of a private home, surrounded by a park several hundred metres from a public road, are particularly intrusive,” the court said. The court decided that every time Mondadori – the publishing company owned by former Italian Prime Minister Silvio Berlusconi – publishes a photograph in the future in France, they will be fined €10,000. But the decision refers only to the 14 pictures that have already been published. Closer’s editor has hinted she has other, more intimate pictures. The couple welcome the judge’s decision. A source said: “They always believed the law was broken and that they had a right to their privacy.” Maud Sobel, a lawyer for the royal couple in Paris, described it as “a wonderful decision.” The royal couple are pleased with the decision, but they want there to be a much more public criminal prosecution for invasion of privacy against the magazine and photographer or photographers. Paris police began an investigation on Tuesday. Under French law, if you invade someone’s privacy, you may have to spend a maximum of one year in prison and pay a fine of €45,000. This punishment would send a message to the world and, the couple hope, stop paparazzi from invading their privacy in the future. The Irish Daily Star has also published the photos. And the Mondadori-owned Italian celebrity magazine Chi published a special edition of 26 pages with the photos of the future queen.",1,377,0,Elementary,False,Short
Norwegian sun,Intermediate,"On the market square in Rjukan stands a statue of the town’s founder, a respected Norwegian engineer and businessman called Sam Eyde. The great man looks north across the square at a mountainside in front of him. Behind him, to the south, rises the 1,800-metre peak known as Gaustatoppen. Between the mountains, along the narrow Vestfjord valley, lies the small, but once powerful, town that Eyde built at the beginning of the last century, so the workers in his factories could live there. Eyde used the power of the 100-metre Rjukanfossen waterfall to make hydroelectricity in what was, at the time, the world’s biggest power plant. But one thing he couldn’t do was change the sun. Deep in its east–west valley, surrounded by high mountains, Rjukan and its 3,400 inhabitants are in shadow for half the year. During the day, from late September to mid-March, the town, three hours north-west of Oslo, is not completely dark, but it’s certainly not bright, either. Now, high on the mountain opposite Eyde’s statue, 450 metres above the town, three large, solar-powered, computer-controlled mirrors slowly track the movement of the sun across the sky. They reflect the sunshine down on to the square and fill it with bright sunlight. “It’s the sun!” grins Ingrid Sparbo, lifting her face to the light and closing her eyes. A retired secretary, Sparbo has lived all her life in Rjukan and says people “do sort of get used to the shade. You end up not thinking about it, really. But this ... this is so warming. Not just physically, but mentally. It’s mentally warming.” Two young mothers bring their children into the square and stand in the sun. On a freezing day, an elderly couple sit on one of the new benches smiling at the warmth on their faces. Children smile. Lots of people take photographs. A shop assistant, Silje Johansen, says it’s “awesome. Just awesome.” Electrical engineer Eivind Toreid is more cautious. “It’s a funny thing,” he says. “Not real sunlight, but very similar. Like a spotlight.” Heidi Fieldheim says she heard all about it on the radio. “But it’s far more than I expected,” she says. “This will bring much happiness.” Across the road, in the Nye Tider café, sits the man who created this unexpected happiness. Martin Andersen is a 40-year-old artist who moved to Rjukan in the summer of 2001. The idea of an artwork Andersen called the Solspeil, or Sun mirror, came to him at the end of one September: “Every day, we would take our young child for a walk,” he says, “and, every day, I realized we were having to go a little further down the valley to find the sun.” By 28 September, the sun completely disappears from Rjukan’s market square. It doesn’t reappear until 12 March. In the months between September and March, Andersen says, “We’d look up and see blue sky above, and the sun high on the mountain slopes, but the only way we could get to it was to go out of town. It’s sad, a town that people have to leave in order to feel the sun.” Twelve years after he first dreamed of his Solspeil, a German company specializing in CSP – concentrated solar power – brought in, by helicopter, the three 17-sq-m glass mirrors that now stand high above the market square in Rjukan. “It took,” he says, “a bit longer than we’d imagined.” It really works. Even the people who were against it at first agree that it works. “I was strongly against it,” admits Nils Eggerud. Like many others, he felt that the money should have been spent on other things – on extra carers to look after Rjukan’s old people, perhaps, or improved school facilities, cycle paths and roads. “And I still don’t know about the continued maintenance costs,” he says. “What will they be, who will pay them? But ... well, it does feel nice, standing here. And, really, you just have to look at the people’s faces.” In his office overlooking the square, Rjukan’s young mayor, Steinar Bergsland, is interested not so much in the cost but in the benefits the mirrors might bring to the town. Already, Bergsland says, visitor numbers are higher than usual for the time of year and Rjukan’s shopkeepers have reported that they are earning more money than usual. A hi-tech company is interested in moving to Rjukan, attracted by the cutting-edge technology at the top of the mountain and the publicity it has attracted. “This is a powerful symbol for Rjukan,” Bergsland says, and, helped by government grants and a donation from a local business, the town needed to find just 1m krone – £100,000 – of the mirrors’ total 5m-krone cost. “And”, he says, “just look out of the window. Look at those happy faces. Now it’s here, people love it.”",1,810,2,Advanced,False,Long
NSA scandal,Intermediate,"According to a top-secret document, the National Security Agency (NSA) has got direct access to the systems of Google, Facebook, Apple and other major US internet companies. The NSA access is part of a program called PRISM, which allows officials to collect material including search history, the content of emails, file transfers and live chats, the document says. The document claims “collection directly from the servers” of major US service providers. Although the document claims that the program is run with the help of the companies, all the companies who responded to a request for comment denied knowledge of any such program. In a statement, Google said: “Google cares deeply about the security of our users’ data. We disclose user data to government in accordance with the law and we review all such requests carefully. From time to time, people allege that we have created a government ‘back door’ into our systems, but Google does not have a back door for the government to access private user data.” Several senior tech executives insisted that they had no knowledge of PRISM or of any similar scheme. They said they would never have been involved in such a program. “If they are doing this, they are doing it without our knowledge,” one said. An Apple spokesman said he had “never heard” of PRISM. The NSA access became possible because of changes to US surveillance law, introduced under President Bush and renewed under Obama in December 2012. The program facilitates a large amount of in-depth surveillance on live communications and stored information. The law allows for the targeting of any customers of participating companies who live outside the US, or those Americans whose communications include people outside the US. The revelation of the PRISM program follows a leak of a top-secret court order that forced telecoms provider Verizon to give the telephone records of millions of US customers to the US government. The participation of the internet companies in PRISM will add to the debate about the level of surveillance by the intelligence services. Unlike the collection of those call records from Verizon, this surveillance can include the content of communications and not just the metadata. It is claimed that some of the world’s largest internet companies are part of the information-sharing program, which was introduced in 2007. Microsoft – which is currently running an advertising campaign with the slogan “Your privacy is our priority” – was the first, with collection beginning in December 2007. It was followed by Yahoo in 2008; Google, Facebook and PalTalk in 2009; YouTube in 2010; Skype and AOL in 2011; and finally Apple, which joined the program in 2012. Under US law, companies must comply with requests for users’ communications, but the PRISM program allows the intelligence services direct access to the companies’ servers. The NSA document notes that the operations have “the help of communications providers in the US”. During the renewal of the FISA Amendments Act (FAA) in December 2012, several US senators warned about the high level of surveillance the law might allow and shortcomings in the safeguards it introduces. When the FAA was first introduced, its supporters argued that one safeguard would be the fact that the NSA could not get electronic communications without the permission of the telecom and internet companies that control the data. But the PRISM program makes that permission unnecessary, because it allows the agency to take the communications directly off the companies’ servers, communications that include email, video and voice chat, videos, photos, voice-over-IP (Skype, for example) chats, file transfers and social networking details. The PRISM program allows the NSA, the world’s largest surveillance organization, to get targeted communications without requesting them from the service providers and without needing individual court orders. With this program, the NSA is able to reach directly into the servers of the companies and get both stored communications and live communications. A senior administration official said in a statement: “The Guardian and Washington Post articles refer to collection of communications under Section 702 of the Foreign Intelligence Surveillance Act (FISA). This law does not allow the targeting of any US citizen or of any person who is within the United States. The program is overseen by the Foreign Intelligence Surveillance Court, the Executive Branch and Congress. Only non-US persons outside the US are targeted.” The program must limit the information it gets, keeps and disseminates about US citizens. “This program was recently reauthorized by Congress after a lot of debate. Information that is collected under this program is some of the most important and valuable intelligence information we collect and it is used to protect our nation from a wide variety of threats.”",1,780,2,Advanced,False,Long
Rats,Intermediate,"Scientists have connected the brains of two animals and allowed them to share sensory information. It is a major step towards what the researchers call the world’s first “organic computer”. The US team fitted two rats with devices called brain-to-brain interfaces that let the animals collaborate on simple tasks to earn rewards, such as a drink of water. In one important demonstration of the technology, the scientists used the internet to connect the brains of two rats separated by thousands of miles – one in North Carolina, USA, and the other in Natal, Brazil. The researchers were led by Miguel Nicolelis, a pioneer of devices that allow paralyzed people to control computers and robotic arms with their thoughts. They say their latest work could make it possible for multiple brains to be connected to share information. “These experiments showed that we have established a sophisticated, direct communication connection between brains,” Nicolelis said. “Basically, we are creating what I call an organic computer.” The scientists first demonstrated that rats can share, and act on, each other’s sensory information by electrically connecting their brains via tiny grids of electrodes that reach the part of the brain that processes movement. The rats were taught to press a lever when a light went on above it. When they did the task correctly, they got a drink of water. To test the animals’ ability to share brain information, they put the rats in two separate compartments. Only one compartment had a light above the lever. When the rat pressed the lever, an electronic version of its brain activity was sent directly to the other rat’s brain. In tests, the second rat responded correctly to the imported brain signals and pressed the lever 70% of the time. Incredibly, the communication between the rats was two-way. If the receiving rat failed at the task, the first rat did not get the reward of a drink, and appeared to change its behaviour to make the task easier for its partner. In further experiments, the rats collaborated on a task that required them to tell the difference between narrow and wide openings using their whiskers. In the final test, the scientists connected rats on different continents and used the internet to send their brain activity back and forth. “Even though the animals were on different continents, they could still communicate,” said Miguel Pais-Vieira, the first author of the study. “This tells us that we could create a workable network of animal brains distributed in many different locations.” Nicolelis said the team is now working on ways to connect several animals’ brains at once to solve more complex tasks. “We cannot even predict what might happen when animals begin interacting as part of a ‘brain-net’,” he said. “In theory, you could imagine that a combination of brains could find solutions that individual brains cannot achieve by themselves.” Anders Sandberg, who studies the ethics of neurotechnologies at Oxford University, said the work was “very important” in helping to understand how brains encode information. But the potential future uses of the technology are much wider, said Sandberg. “The main reason we are running the planet is that we are amazingly good at communicating and coordinating. Without that, although we are very smart animals, we would not dominate the planet.” “I don’t think there’s any risk of supersmart rats from this,” he added. “There’s a big difference between sharing sensory information and being able to plan. I’m not worried about an invasion by smart rats.” Very little is known about how people encode thoughts and how they might be sent to another person’s brain – so that will not happen any time soon. And much of what is in our minds is a “draft”, as Sandberg calls it, of what we might do. “Often, we don’t want to reveal those drafts, because that would be embarrassing and confusing. And we change a lot of those drafts before we act. Most of the time I think we’d be very thankful not to be in someone else’s head.”",1,673,2,Advanced,False,Short
